epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,134.843,0.62995,0.47453,0.87233,0.95168,0.99513,0.995,0.81524,0.84206,0.48479,1.02078,0.000561279,0.000561279,0.000561279
136,135.914,0.58579,0.50541,0.8713,0.95834,1,0.995,0.7915,0.8379,0.4834,1.01649,0.000553027,0.000553027,0.000553027
137,137.033,0.59128,0.48977,0.86973,0.95834,1,0.995,0.7915,0.8379,0.4834,1.01649,0.000544776,0.000544776,0.000544776
138,137.701,0.58325,0.48547,0.87473,0.96593,1,0.995,0.79549,0.86101,0.48737,1.04614,0.000536524,0.000536524,0.000536524
139,138.765,0.57226,0.4665,0.85855,0.96593,1,0.995,0.79549,0.86101,0.48737,1.04614,0.000528272,0.000528272,0.000528272
140,140.061,0.55397,0.47538,0.86495,0.97359,1,0.995,0.74158,0.92357,0.46903,1.09332,0.000520021,0.000520021,0.000520021
141,141.274,0.59278,0.48126,0.88426,0.97359,1,0.995,0.74158,0.92357,0.46903,1.09332,0.000511769,0.000511769,0.000511769
142,142.432,0.56822,0.48939,0.88548,0.97733,1,0.995,0.70771,0.9512,0.44952,1.12476,0.000503517,0.000503517,0.000503517
143,143.073,0.5403,0.45324,0.86471,0.97733,1,0.995,0.70771,0.9512,0.44952,1.12476,0.000495266,0.000495266,0.000495266
144,144.263,0.52149,0.46575,0.85911,0.97927,1,0.995,0.73766,0.91457,0.43891,1.08553,0.000487014,0.000487014,0.000487014
145,145.519,0.54539,0.4615,0.86205,0.97927,1,0.995,0.73766,0.91457,0.43891,1.08553,0.000478762,0.000478762,0.000478762
146,146.22,0.53492,0.46415,0.85086,0.98138,1,0.995,0.75827,0.90567,0.43109,1.04872,0.000470511,0.000470511,0.000470511
147,147.133,0.55934,0.47206,0.84922,0.98138,1,0.995,0.75827,0.90567,0.43109,1.04872,0.000462259,0.000462259,0.000462259
148,148.532,0.58131,0.47788,0.87865,0.9861,1,0.995,0.7817,0.89718,0.42803,1.04543,0.000454007,0.000454007,0.000454007
149,149.259,0.54958,0.46415,0.85222,0.9861,1,0.995,0.7817,0.89718,0.42803,1.04543,0.000445756,0.000445756,0.000445756
150,150.312,0.51984,0.46318,0.83793,0.99031,1,0.995,0.77432,0.88104,0.42592,1.05912,0.000437504,0.000437504,0.000437504
151,151.414,0.52461,0.45918,0.86647,0.99031,1,0.995,0.77432,0.88104,0.42592,1.05912,0.000429253,0.000429253,0.000429253
152,152.622,0.52972,0.48146,0.85762,0.98998,1,0.995,0.77605,0.88493,0.42735,1.07686,0.000421001,0.000421001,0.000421001
153,153.91,0.54102,0.49629,0.87222,0.98998,1,0.995,0.77605,0.88493,0.42735,1.07686,0.000412749,0.000412749,0.000412749
154,154.621,0.5371,0.46353,0.86029,0.99003,1,0.995,0.79435,0.8562,0.42053,1.06405,0.000404498,0.000404498,0.000404498
155,155.585,0.51005,0.44416,0.86792,0.99003,1,0.995,0.79435,0.8562,0.42053,1.06405,0.000396246,0.000396246,0.000396246
156,156.413,0.50665,0.42907,0.84135,0.99056,1,0.995,0.80335,0.84063,0.42509,1.04718,0.000387994,0.000387994,0.000387994
157,157.127,0.54197,0.44935,0.86555,0.99056,1,0.995,0.80335,0.84063,0.42509,1.04718,0.000379743,0.000379743,0.000379743
158,157.842,0.57676,0.49159,0.88537,0.98758,1,0.995,0.80038,0.8403,0.42561,1.04583,0.000371491,0.000371491,0.000371491
159,158.767,0.51794,0.46051,0.86108,0.98758,1,0.995,0.80038,0.8403,0.42561,1.04583,0.000363239,0.000363239,0.000363239
160,160.035,0.51723,0.45103,0.84843,0.9838,1,0.995,0.81411,0.82563,0.40549,1.04649,0.000354988,0.000354988,0.000354988
161,160.72,0.55726,0.45392,0.84897,0.9838,1,0.995,0.81411,0.82563,0.40549,1.04649,0.000346736,0.000346736,0.000346736
162,161.275,0.51805,0.4676,0.87557,0.98231,1,0.995,0.80638,0.82618,0.40387,1.05429,0.000338484,0.000338484,0.000338484
163,162.118,0.54137,0.47152,0.87268,0.98231,1,0.995,0.80638,0.82618,0.40387,1.05429,0.000330233,0.000330233,0.000330233
164,163.471,0.55601,0.48718,0.87073,0.98252,1,0.995,0.80668,0.83069,0.40306,1.05708,0.000321981,0.000321981,0.000321981
165,164.161,0.56506,0.49103,0.89511,0.98252,1,0.995,0.80668,0.83069,0.40306,1.05708,0.000313729,0.000313729,0.000313729
166,165.429,0.52128,0.42656,0.83717,0.98379,1,0.995,0.81171,0.83668,0.40736,1.05282,0.000305478,0.000305478,0.000305478
167,166.883,0.50777,0.44487,0.85583,0.98379,1,0.995,0.81171,0.83668,0.40736,1.05282,0.000297226,0.000297226,0.000297226
168,167.63,0.50693,0.44061,0.86763,0.98745,1,0.995,0.79958,0.81161,0.3994,1.04403,0.000288974,0.000288974,0.000288974
169,168.643,0.52648,0.44049,0.86183,0.98745,1,0.995,0.79958,0.81161,0.3994,1.04403,0.000280723,0.000280723,0.000280723
170,170.491,0.53547,0.44253,0.85673,0.99061,1,0.995,0.79917,0.7975,0.39915,1.04537,0.000272471,0.000272471,0.000272471
171,171.163,0.54113,0.44797,0.86881,0.99061,1,0.995,0.79917,0.7975,0.39915,1.04537,0.00026422,0.00026422,0.00026422
172,172.318,0.49663,0.43669,0.84017,0.99102,1,0.995,0.78298,0.8062,0.39905,1.05438,0.000255968,0.000255968,0.000255968
173,173.361,0.52555,0.43443,0.8674,0.99102,1,0.995,0.78298,0.8062,0.39905,1.05438,0.000247716,0.000247716,0.000247716
174,174.006,0.50844,0.4424,0.84715,0.99119,1,0.995,0.78297,0.82389,0.40017,1.06038,0.000239465,0.000239465,0.000239465
175,174.92,0.51326,0.445,0.85923,0.99119,1,0.995,0.78297,0.82389,0.40017,1.06038,0.000231213,0.000231213,0.000231213
176,176.334,0.56384,0.45838,0.8554,0.99116,1,0.995,0.82144,0.82939,0.4022,1.05946,0.000222961,0.000222961,0.000222961
177,177.064,0.5218,0.44381,0.83964,0.99116,1,0.995,0.82144,0.82939,0.4022,1.05946,0.00021471,0.00021471,0.00021471
178,178.255,0.47095,0.41636,0.84774,0.9889,1,0.995,0.82143,0.81924,0.40065,1.04366,0.000206458,0.000206458,0.000206458
179,179.609,0.46436,0.4127,0.85176,0.9889,1,0.995,0.82143,0.81924,0.40065,1.04366,0.000198206,0.000198206,0.000198206
180,180.335,0.4815,0.41411,0.84679,0.98567,1,0.995,0.83001,0.78718,0.39575,1.02538,0.000189955,0.000189955,0.000189955
181,180.878,0.47139,0.4119,0.84926,0.98567,1,0.995,0.83001,0.78718,0.39575,1.02538,0.000181703,0.000181703,0.000181703
182,182.178,0.49015,0.43664,0.85555,0.98539,1,0.995,0.83725,0.76901,0.38548,1.0172,0.000173451,0.000173451,0.000173451
183,183.091,0.50604,0.41063,0.82688,0.98539,1,0.995,0.83725,0.76901,0.38548,1.0172,0.0001652,0.0001652,0.0001652
184,184.454,0.47853,0.42245,0.84826,0.98474,1,0.995,0.80969,0.76899,0.3806,1.01914,0.000156948,0.000156948,0.000156948
185,185.261,0.51661,0.42323,0.85771,0.98474,1,0.995,0.80969,0.76899,0.3806,1.01914,0.000148696,0.000148696,0.000148696
186,186.566,0.47146,0.41298,0.84515,0.98333,1,0.995,0.81264,0.77335,0.38064,1.02448,0.000140445,0.000140445,0.000140445
187,187.841,0.47014,0.42184,0.85161,0.98333,1,0.995,0.81264,0.77335,0.38064,1.02448,0.000132193,0.000132193,0.000132193
188,188.988,0.5153,0.43421,0.88822,0.98289,1,0.995,0.8133,0.78251,0.38089,1.03042,0.000123941,0.000123941,0.000123941
